Station,Fork.,Selskab,Status,Strækning,Bemærkninger
Albertslund,Alb,Banedanmark,P,Kh (nær)-Htå (nær),Trinbræt
Alken,Ak,Banedanmark,P,Sd-Sj,Trinbræt
Allerød,Li,Banedanmark,P,Gj-Hi,Station
Amstrup,Amt,Midtjyske Jernbaner,P,Vem-Thb,Trinbræt
Arden,Ad,Banedanmark,P,Ar-Ab,Trinbræt
Armose,Arm,Midtjyske Jernbaner,P,Vem-Thb,Trinbræt
Asnæs,As,Lokaltog A/S,P,Hk-Nk,Station
Aulum,Uu,Banedanmark,P,Ho-Vj,Station
Avedøre,Avø,Banedanmark,P,Kh (nær)-Kj (nær),Trinbræt
Avnede,Avd,Lokaltog A/S,P,Nfv-Nsk,Trinbræt
Bagmarken,Bmt,Lokaltog A/S,P,Tø-Sg,Trinbræt
Bagsværd,Bav,Banedanmark,P,Sam (nær)-Fm,Trinbræt
Balleby,Bat,Midtjyske Jernbaner,P,Vem-Thb,Trinbræt
Ballerup,Ba,Banedanmark,P,Val (nær)-Fs,Station
Baunhøj,Bah,VNJ,P,Va-Nbl,Trinbræt
Bavnehøj,Ban,Banedanmark,÷ P,Kh/Hif-Phm,Station
Bavnehøj (nær),Ban,Banedanmark,÷ P,Kh (nær)-Kj (nær),Station
Bedsted Thy,Bn,Banedanmark,P,Str-Ti,Station
Bernstorffsvej,Bft,Banedanmark,P,Kh (nær)-Gj,Trinbræt
Billum,Bi,VNJ,P,Va-Nbl,Station
Birk Centerpark,Bic,Banedanmark,P,Sd-Sj,Trinbræt
Birkerød,Bi,Banedanmark,P,Gj-Hi,Station
Bispebjerg,Bit,Banedanmark,P,Ig (nær)-Hl (nær),Trinbræt. Ligger på Ler
Bjerringbro,Bj,Banedanmark,P,Lg-Str,Station
Bonnet,Bnt,Midtjyske Jernbaner,P,Vem-Thb,Station
Bording,Bg,Banedanmark,P,Sd-Sj,Station
Borris,Bs,Banedanmark,P,Sd-Sj,Station
Borup,Bo,Banedanmark,P,Kh-Fa/Tl,Station
Boulevarden,Vo,VNJ,P,Va-Nbl,Trinbræt
Brabrand,Br,Banedanmark,÷ P,Ar-Ab,Station
Bramming,Bm,Banedanmark,P,Lk-Es, Bm-Tdgr,Station
Brande,Bb,Banedanmark,P,Ho-Vj,Station
